,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2016-01-04,5501000,269097000,49.5,49.55,48.4,49.15,-0.4,3153
1,2016-01-05,12999000,667425000,49.55,52.5,49.55,51.9,2.75,7318
2,2016-01-06,20929000,1113208000,52.7,54.2,51.6,53.2,1.3,10543
3,2016-01-07,18118000,924565000,52.3,52.9,49.3,49.3,-3.9,9492
4,2016-01-08,9727000,483546000,48.5,50.5,48.5,50.1,0.8,6869
5,2016-01-11,12352000,590285000,49.3,49.35,46.5,47.8,-2.3,6148
6,2016-01-12,9165000,437681000,48.3,49.45,46.8,47.1,-0.7,6037
7,2016-01-13,8046000,381542000,48.2,48.5,46.4,47.5,0.4,4774
8,2016-01-14,10674000,488174000,45.1,46.85,44.5,46.3,-1.2,5795
9,2016-01-15,6125000,286605000,47.2,47.45,45.8,46.25,-0.05,3262
10,2016-01-18,7648000,361391000,44.55,50.0,44.55,49.1,2.85,4550
11,2016-01-19,7989000,400221000,49.3,51.0,48.25,50.4,1.3,5073
12,2016-01-20,5705000,281967000,50.4,50.4,48.05,48.5,-1.9,3423
13,2016-01-21,7605000,382388000,49.0,51.5,48.7,49.95,1.45,3879
14,2016-01-22,5030000,254267000,50.5,51.4,49.95,49.95,0.0,2731
15,2016-01-25,6947000,358644000,50.7,52.3,50.5,51.9,1.95,3983
16,2016-01-26,10871000,577937000,51.7,54.0,51.3,53.4,1.5,5777
17,2016-01-27,13001000,710276000,53.5,55.4,53.5,54.0,0.6,6954
18,2016-01-28,9300000,502401000,53.0,55.0,52.5,55.0,1.0,5053
19,2016-01-29,21223000,1117645000,54.0,55.0,51.5,52.1,-2.9,9452
20,2016-01-30,8905000,474149000,52.4,53.7,52.3,53.1,1.0,4280
21,2016-02-01,11940000,647204000,53.8,54.8,53.5,53.6,0.5,5872
22,2016-02-02,6701000,357649000,54.0,54.2,52.7,53.0,-0.6,3528
23,2016-02-03,4750000,253366000,52.5,53.9,52.5,53.4,0.4,2724
24,2016-02-15,8053000,435412000,53.5,55.5,52.5,53.1,-0.3,4823
25,2016-02-16,5795000,313232000,53.1,55.0,52.8,55.0,1.9,3419
26,2016-02-17,4662000,253414000,55.4,55.5,53.9,54.6,-0.4,2828
27,2016-02-18,5746000,311213000,54.9,55.0,53.4,53.8,-0.8,3259
28,2016-02-19,6947000,376483000,54.2,55.1,53.5,54.3,0.5,3896
29,2016-02-22,2952000,159791000,54.3,54.7,53.6,54.0,-0.3,1930
30,2016-02-23,3970000,216322000,54.4,54.9,54.0,54.1,0.1,2414
31,2016-02-24,4312000,229621000,54.1,54.5,52.5,52.7,-1.4,2644
32,2016-02-25,2177000,115647000,53.2,53.4,52.8,53.3,0.6,1376
33,2016-02-26,3224000,174258000,53.9,54.4,53.6,54.1,0.8,1780
34,2016-03-01,21637000,1254357000,54.4,59.5,54.2,59.5,5.4,9117
35,2016-03-02,18071000,1101692000,61.4,62.3,60.1,60.1,0.6,8716
36,2016-03-03,8158000,480853000,59.5,60.0,58.1,59.0,-1.1,4545
37,2016-03-04,6346000,374740000,59.2,60.2,58.4,59.0,0.0,3690
38,2016-03-07,4900000,288066000,59.0,59.4,58.2,59.4,0.4,2499
39,2016-03-08,11288000,675507000,60.8,61.6,58.6,58.6,-0.8,5509
40,2016-03-09,9527000,567871000,58.6,61.0,57.6,60.9,2.3,5455
41,2016-03-10,5198000,309894000,59.8,60.2,59.1,59.5,-1.4,3068
42,2016-03-11,7190000,418587000,58.8,59.0,57.8,58.1,-1.4,4035
43,2016-03-14,3938000,231965000,59.0,59.5,58.4,58.7,0.6,2512
44,2016-03-15,6127000,361051000,59.3,60.0,58.1,58.4,-0.3,3411
45,2016-03-16,6366000,380031000,58.9,60.3,58.1,59.9,1.5,3309
46,2016-03-17,14655000,900120000,60.8,62.3,60.2,62.0,2.1,7534
47,2016-03-18,11539000,689341000,60.4,60.7,58.8,60.0,-2.0,5933
48,2016-03-21,8072000,494940000,60.6,62.9,59.6,62.5,2.5,4404
49,2016-03-22,17266000,1132070000,64.2,68.0,63.6,64.8,2.3,8831
50,2016-03-23,13676000,904452000,64.2,67.5,63.9,66.4,1.6,7488
51,2016-03-24,7550000,498055000,65.8,67.0,64.8,67.0,0.6,4457
52,2016-03-25,6876000,459233000,67.4,68.8,65.6,65.9,-1.1,3874
