number,sharpe_ratio,total_return,datetime_start,datetime_complete,duration,params_bb_multiply,params_bb_timeperiod,params_channel_multiply,params_channel_timeperiod,system_attrs_nsga2:generation,state
0,1.1179824439623918,0.17486205993462847,2024-01-16 16:33:28.662541,2024-01-16 16:33:28.924010,0 days 00:00:00.261469,2.4537216276638296,19,2.0573030659050957,25,0,COMPLETE
1,0.31968768765109046,0.04688884346120204,2024-01-16 16:33:28.924564,2024-01-16 16:33:29.048309,0 days 00:00:00.123745,2.4784074981147453,21,2.0650390586350458,25,0,COMPLETE
2,0.19670380431578682,0.022754982315029936,2024-01-16 16:33:29.051423,2024-01-16 16:33:29.208965,0 days 00:00:00.157542,2.3854868269093985,19,2.2654041573816235,21,0,COMPLETE
3,-0.4476040549789468,-0.12771166599425143,2024-01-16 16:33:29.209966,2024-01-16 16:33:29.356746,0 days 00:00:00.146780,2.309245564282432,20,2.0991393183913702,25,0,COMPLETE
4,-0.4476040549789468,-0.12771166599425143,2024-01-16 16:33:29.359263,2024-01-16 16:33:29.540390,0 days 00:00:00.181127,2.405864551445198,22,2.1062208523284394,21,0,COMPLETE
5,0.31968768765109046,0.04688884346120204,2024-01-16 16:33:29.540390,2024-01-16 16:33:29.693920,0 days 00:00:00.153530,2.311670893208713,24,2.0658104738897003,26,0,COMPLETE
6,-0.4476040549789468,-0.12771166599425143,2024-01-16 16:33:29.694919,2024-01-16 16:33:29.858401,0 days 00:00:00.163482,2.4278971351616794,22,2.0919495412499574,21,0,COMPLETE
7,-0.03679525924197302,-0.012453905817682197,2024-01-16 16:33:29.860453,2024-01-16 16:33:30.040959,0 days 00:00:00.180506,2.4251100147804827,23,2.0149761778157034,21,0,COMPLETE
8,0.23223426623645366,0.03257119750143147,2024-01-16 16:33:30.042230,2024-01-16 16:33:30.220599,0 days 00:00:00.178369,2.3603248429981845,19,2.19782203215536,23,0,COMPLETE
9,-0.2982768553812577,-0.16560250051378717,2024-01-16 16:33:30.223604,2024-01-16 16:33:30.423574,0 days 00:00:00.199970,2.321087451599895,19,2.174282829524407,21,0,COMPLETE
10,-0.03679525924197302,-0.012453905817682197,2024-01-16 16:33:30.424574,2024-01-16 16:33:30.560414,0 days 00:00:00.135840,2.488721689367588,24,2.2475108235952135,23,0,COMPLETE
11,0.31968768765109046,0.04688884346120204,2024-01-16 16:33:30.561409,2024-01-16 16:33:30.675139,0 days 00:00:00.113730,2.435803781830665,22,2.034309563597946,21,0,COMPLETE
12,0.31968768765109046,0.04688884346120204,2024-01-16 16:33:30.675139,2024-01-16 16:33:30.782841,0 days 00:00:00.107702,2.4066364456416194,22,2.0223490419679484,26,0,COMPLETE
13,1.1179824439623918,0.17486205993462847,2024-01-16 16:33:30.783855,2024-01-16 16:33:30.907096,0 days 00:00:00.123241,2.3779131873343293,19,2.1709237618952724,26,0,COMPLETE
14,-0.4476040549789468,-0.12771166599425143,2024-01-16 16:33:30.908183,2024-01-16 16:33:31.024393,0 days 00:00:00.116210,2.4382302540781198,23,2.282566647722701,24,0,COMPLETE
15,0.31968768765109046,0.04688884346120204,2024-01-16 16:33:31.025392,2024-01-16 16:33:31.144629,0 days 00:00:00.119237,2.4909584590734,22,2.0560963739015583,23,0,COMPLETE
16,0.31968768765109046,0.04688884346120204,2024-01-16 16:33:31.145623,2024-01-16 16:33:31.319209,0 days 00:00:00.173586,2.31728390450497,23,2.106746189071255,20,0,COMPLETE
17,0.31968768765109046,0.04688884346120204,2024-01-16 16:33:31.322210,2024-01-16 16:33:31.437441,0 days 00:00:00.115231,2.4342710233214,21,2.095280420400577,25,0,COMPLETE
18,0.31968768765109046,0.04688884346120204,2024-01-16 16:33:31.438471,2024-01-16 16:33:31.544745,0 days 00:00:00.106274,2.4861382777043994,24,2.1854258636900403,26,0,COMPLETE
19,1.1179824439623918,0.17486205993462847,2024-01-16 16:33:31.545712,2024-01-16 16:33:31.693462,0 days 00:00:00.147750,2.4777641137587483,20,2.1939264284769444,23,0,COMPLETE
